Input,H0,MetaH0,Tiempo Tot0,H1,MetaH1,Tiempo Tot1,H2,MetaH2,Tiempo Tot2,,Optimo local,%lejania H0,%lejania H1,%lejania H2
a05100,1719,1694,0,1932,1693,0,1712,1694,0,,1693,0.06,0,0.06
a05200,3259,3235,0,3800,3235,0,3289,3235,0,,3235,0,0,0
a10100,1370,1358,0,1732,1358,0,1416,1359,0,,1358,0,0,0.07
a10200,2657,2623,2,3290,2622,2,2698,2623,1,,2622,0.04,0,0.04
a20100,1177,1160,0,1589,1159,0,1275,1159,0,,1159,0.09,0,0
a20200,2369,2343,2,2804,2342,2,2458,2341,2,,2341,0.09,0.04,0
b05100,5669,1576,1,5336,1575,1,5152,1572,1,,1572,0.25,0.19,0
b05200,8703,3280,8,8927,3290,9,8794,3269,9,,3269,0.34,0.64,0
b10100,3461,1401,1,3445,1407,1,3150,1408,1,,1401,0,0.43,0.5
b10200,7551,2711,11,6331,2709,11,6416,2691,12,,2691,0.74,0.67,0
b20100,3157,1187,1,2781,1165,1,2850,1170,1,,1165,1.89,0,0.43
b20200,4945,2370,14,4724,2373,16,4995,2353,13,,2353,0.72,0.85,0
e05100,23799,4714,0,27003,4743,0,63516,4735,0,,4714,0,0.62,0.45
e05200,57228,10113,4,84420,10192,4,120105,10122,2,,10113,0,0.78,0.09
e10100,24261,3092,0,31405,3132,0,45344,3092,0,,3092,0,1.29,0
e10200,61811,6614,3,69502,6658,3,71516,6636,3,,6614,0,0.67,0.33
e10400,249218,13269,34,279669,13239,34,249207,13186,39,,13186,0.63,0.4,0
e15900,3791,2360,0,5895,2337,0,23951,2395,0,,2337,0.98,0,2.48
e20100,54165,4977,4,54624,4991,5,65519,4955,7,,4955,0.44,0.73,0
e20200,232167,9951,41,274241,10001,40,259264,9916,38,,9916,0.35,0.86,0
e20400,620956,25142,86,573739,25265,89,530662,24962,81,,24962,0.72,1.21,0
e30900,537376,19185,81,539815,19286,87,482144,18894,0,,18894,1.54,2.07,0
e40400,180792,7881,6,178702,7823,0,189913,7733,0,,7733,1.91,1.16,0
e60900,478813,15342,80,387076,15390,0,343636,14956,0,,14956,2.58,2.9,0
e201600,1.07E+06,39213,506,989652,39460,591,924564,38899,548,,38899,0.81,1.44,0
e401600,1.01E+06,30200,2657,950492,30505,2776,891993,30020,2536,,30020,0.6,1.62,0
e801600,931184,24000,2781,776391,24364,2623,676425,24043,2257,,24000,0,1.52,0.18
,,,,,,,,,,,PROMEDIO,0.55,0.74,0.17
